| case_name                                                      | status   | duration   |  |
| -----------                                                    | -------- | ---------- |  |
| 1. embedding_lookup_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 65.0s      |  |
| 2. gemm_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 66.2s      |  |
| 3. layernorm_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 66.5s      |  |
| 4. rccl_test (in bazeltest_rocmimpl_all.log)                   | PASSED   | 65.3s      |  |
| 5. rocm_act_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 65.6s      |  |
| 6. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)      | PASSED   | 63.1s      |  |
| 7. rocm_basic_test (in bazeltest_rocmimpl_all.log)             | PASSED   | 64.1s      |  |
| 8. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log) | PASSED   | 126.2s     |  |
| 9. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 71.4s      |  |
| 10. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)   | PASSED   | 64.5s      |  |
| 11. rocm_ops_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 65.8s      |  |
| 12. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 67.8s      |  |
| 13. rocm_speculative_sampling (in bazeltest_rocmimpl_all.log)  | PASSED   | 65.2s      |  |
| 14. sampler_test (in bazeltest_rocmimpl_all.log)               | PASSED   | 66.1s      |  |
| 15. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)   | PASSED   | 68.0s      |  |
| 16. rocm_embedding_test (in bazeltest_py_all.log)              | PASSED   | 56.3s      |  |
| 17. rocm_fmha_test (in bazeltest_py_all.log)                   | PASSED   | 202.7s     |  |
| 18. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)    | PASSED   | 58.2s      |  |
| 19. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)         | PASSED   | 61.8s      |  |
| 20. rocm_general_layer_norm_test (in bazeltest_py_all.log)     | PASSED   | 56.8s      |  |
| 21. rocm_layer_norm_test (in bazeltest_py_all.log)             | PASSED   | 57.5s      |  |
| 22. rocm_norm_test (in bazeltest_py_all.log)                   | PASSED   | 60.3s      |  |
| 23. rocm_fused_moe_test (in bazeltest_py_all.log)              | PASSED   | 68.5s      |  |
| 24. fp8_ptpc_linear_test (in bazeltest_py_all.log)             | PASSED   | 96.0s      |  |
| 25. rocm_linear_test (in bazeltest_py_all.log)                 | PASSED   | 98.8s      |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                 | FAILED   | -          |  |
| Bert_fp16_4l_sku_mean_909                                      | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                       | MATCH    | -          |  |
| Bert_int8                                                      | MISMATCH | -          |  |
| Qwen3_30B_A3B_bf16_moe                                         | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                       | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                               | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                           | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                          | MISMATCH | -          |  |
| Qwen_VL_TP1                                                    | MATCH    | -          |  |
| Qwen_VL_TP4                                                    | MATCH    | -          |  |
