| case_name                                                               | status   | duration   |  |
| -----------                                                             | -------- | ---------- |  |
| 1. rocm_gemm_op_test (in bazeltest_tests_rocm_all.log)                  | PASSED   | 78.9s      |  |
| 2. rocm_mla_context_attention (in bazeltest_tests_rocm_all.log)         | PASSED   | 27.6s      |  |
| 3. rocm_mla_decode_attention (in bazeltest_tests_rocm_all.log)          | PASSED   | 27.9s      |  |
| 4. rocm_mla_rotary_kvcache_test (in bazeltest_tests_rocm_all.log)       | PASSED   | 63.7s      |  |
| 5. rocm_pertensor_int8_gemm_op_test (in bazeltest_tests_rocm_all.log)   | PASSED   | 30.5s      |  |
| 6. rocm_ptpc_gemm_op_test (in bazeltest_tests_rocm_all.log)             | PASSED   | 30.5s      |  |
| 7. fused_qk_rmsnorm (in bazeltest_tests_fused_qk_rmsnorm.log)           | PASSED   | 28.5s      |  |
| 8. rocm_ptpc_gemm_op_test (in bazeltest_tests_ptpc_gemm_op_swizzle.log) | PASSED   | 31.4s      |  |
| 9. embedding_lookup_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 26.5s      |  |
| 10. gemm_op_test (in bazeltest_rocmimpl_all.log)                        | PASSED   | 26.0s      |  |
| 11. layernorm_test (in bazeltest_rocmimpl_all.log)                      | PASSED   | 26.6s      |  |
| 12. rccl_test (in bazeltest_rocmimpl_all.log)                           | PASSED   | 27.1s      |  |
| 13. rocm_act_op_test (in bazeltest_rocmimpl_all.log)                    | PASSED   | 37.7s      |  |
| 14. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 32.9s      |  |
| 15. rocm_basic_test (in bazeltest_rocmimpl_all.log)                     | PASSED   | 28.4s      |  |
| 16. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log)         | PASSED   | 35.2s      |  |
| 17. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)                    | PASSED   | 35.3s      |  |
| 18. rocm_ops_test (in bazeltest_rocmimpl_all.log)                       | PASSED   | 33.4s      |  |
| 19. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 32.9s      |  |
| 20. rocm_speculative_sampling (in bazeltest_rocmimpl_all.log)           | PASSED   | 29.8s      |  |
| 21. sampler_test (in bazeltest_rocmimpl_all.log)                        | PASSED   | 37.0s      |  |
| 22. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)            | PASSED   | 30.6s      |  |
| 23. rocm_embedding_test (in bazeltest_py_all.log)                       | PASSED   | 39.2s      |  |
| 24. rocm_fmha_test (in bazeltest_py_all.log)                            | PASSED   | 398.5s     |  |
| 25. rocm_fp8_linear_test (in bazeltest_py_all.log)                      | PASSED   | 83.3s      |  |
| 26. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)             | PASSED   | 35.6s      |  |
| 27. rocm_fused_moe_test (in bazeltest_py_all.log)                       | PASSED   | 240.1s     |  |
| 28. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)                  | PASSED   | 41.9s      |  |
| 29. rocm_general_layer_norm_test (in bazeltest_py_all.log)              | PASSED   | 34.4s      |  |
| 30. rocm_layer_norm_test (in bazeltest_py_all.log)                      | PASSED   | 40.4s      |  |
| 31. rocm_linear_test (in bazeltest_py_all.log)                          | PASSED   | 67.0s      |  |
| 32. rocm_norm_test (in bazeltest_py_all.log)                            | PASSED   | 38.4s      |  |
| Bert_fp16_4l_sku_mean_909                                               | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                                | MATCH    | -          |  |
| Bert_int8                                                               | MATCH    | -          |  |
| Qwen3_30B_A3B_bf16_moe                                                  | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                                | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                        | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                                    | MATCH    | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                          | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                                   | MATCH    | -          |  |
| Qwen_VL_TP1                                                             | MATCH    | -          |  |
| Qwen_VL_TP4                                                             | MATCH    | -          |  |
