| case_name                                                               | status   | duration   |  |
| -----------                                                             | -------- | ---------- |  |
| 1. rocm_gemm_op_test (in bazeltest_tests_rocm_all.log)                  | PASSED   | 93.6s      |  |
| 2. rocm_mla_context_attention (in bazeltest_tests_rocm_all.log)         | PASSED   | 39.1s      |  |
| 3. rocm_mla_decode_attention (in bazeltest_tests_rocm_all.log)          | PASSED   | 40.3s      |  |
| 4. rocm_mla_rotary_kvcache_test (in bazeltest_tests_rocm_all.log)       | PASSED   | 76.3s      |  |
| 5. rocm_pertensor_int8_gemm_op_test (in bazeltest_tests_rocm_all.log)   | PASSED   | 42.6s      |  |
| 6. rocm_ptpc_a8w8_gemm_op_test (in bazeltest_tests_rocm_all.log)        | PASSED   | 43.4s      |  |
| 7. rocm_ptpc_gemm_op_test (in bazeltest_tests_rocm_all.log)             | PASSED   | 42.1s      |  |
| 8. fused_qk_rmsnorm (in bazeltest_tests_fused_qk_rmsnorm.log)           | PASSED   | 41.2s      |  |
| 9. rocm_ptpc_gemm_op_test (in bazeltest_tests_ptpc_gemm_op_swizzle.log) | PASSED   | 38.9s      |  |
| 10. embedding_lookup_test (in bazeltest_rocmimpl_all.log)               | PASSED   | 37.4s      |  |
| 11. gemm_op_test (in bazeltest_rocmimpl_all.log)                        | PASSED   | 37.3s      |  |
| 12. layernorm_test (in bazeltest_rocmimpl_all.log)                      | PASSED   | 37.2s      |  |
| 13. rccl_test (in bazeltest_rocmimpl_all.log)                           | PASSED   | 35.9s      |  |
| 14. rocm_act_op_test (in bazeltest_rocmimpl_all.log)                    | PASSED   | 35.6s      |  |
| 15. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 35.2s      |  |
| 16. rocm_basic_test (in bazeltest_rocmimpl_all.log)                     | PASSED   | 37.8s      |  |
| 17. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log)         | PASSED   | 35.6s      |  |
| 18. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)                    | PASSED   | 38.5s      |  |
| 19. rocm_ops_test (in bazeltest_rocmimpl_all.log)                       | PASSED   | 34.7s      |  |
| 20. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 36.0s      |  |
| 21. rocm_speculative_sampling (in bazeltest_rocmimpl_all.log)           | PASSED   | 35.9s      |  |
| 22. sampler_test (in bazeltest_rocmimpl_all.log)                        | PASSED   | 36.3s      |  |
| 23. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)            | PASSED   | 37.8s      |  |
| Bert_fp16_4l_sku_mean_909                                               | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                                | MATCH    | -          |  |
| Bert_int8                                                               | MISMATCH | -          |  |
| Qwen3_30B_A3B_bf16_moe                                                  | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                                | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                        | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                                    | MATCH    | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                          | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                                   | MISMATCH | -          |  |
| Qwen_VL_TP1                                                             | MATCH    | -          |  |
| Qwen_VL_TP4                                                             | MATCH    | -          |  |
