| case_name                                                                | status   | duration   |  |
| -----------                                                              | -------- | ---------- |  |
| 1. rocm_ffn_moe_fp8_ll_test (in bazeltest_tests_rocm_all.log)            | FAILED   | N/A        |  |
| 2. rocm_gemm_op_test (in bazeltest_tests_rocm_all.log)                   | PASSED   | 111.1s     |  |
| 3. rocm_mla_context_attention (in bazeltest_tests_rocm_all.log)          | PASSED   | 55.1s      |  |
| 4. rocm_mla_decode_attention (in bazeltest_tests_rocm_all.log)           | PASSED   | 59.9s      |  |
| 5. rocm_mla_rotary_kvcache_test (in bazeltest_tests_rocm_all.log)        | PASSED   | 109.6s     |  |
| 6. rocm_pertensor_int8_gemm_op_test (in bazeltest_tests_rocm_all.log)    | PASSED   | 59.3s      |  |
| 7. rocm_ptpc_a8w8_gemm_op_test (in bazeltest_tests_rocm_all.log)         | PASSED   | 62.3s      |  |
| 8. rocm_ptpc_gemm_op_test (in bazeltest_tests_rocm_all.log)              | PASSED   | 58.7s      |  |
| 9. fused_qk_rmsnorm (in bazeltest_tests_fused_qk_rmsnorm.log)            | PASSED   | 56.3s      |  |
| 10. rocm_ptpc_gemm_op_test (in bazeltest_tests_ptpc_gemm_op_swizzle.log) | PASSED   | 57.8s      |  |
| 11. embedding_lookup_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 64.6s      |  |
| 12. gemm_op_test (in bazeltest_rocmimpl_all.log)                         | PASSED   | 63.2s      |  |
| 13. layernorm_test (in bazeltest_rocmimpl_all.log)                       | PASSED   | 65.1s      |  |
| 14. rccl_test (in bazeltest_rocmimpl_all.log)                            | PASSED   | 98.9s      |  |
| 15. rocm_act_op_test (in bazeltest_rocmimpl_all.log)                     | PASSED   | 65.1s      |  |
| 16. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)               | PASSED   | 64.4s      |  |
| 17. rocm_basic_test (in bazeltest_rocmimpl_all.log)                      | PASSED   | 66.6s      |  |
| 18. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log)          | PASSED   | 66.5s      |  |
| 19. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)                     | PASSED   | 67.6s      |  |
| 20. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)             | PASSED   | 67.1s      |  |
| 21. rocm_ops_test (in bazeltest_rocmimpl_all.log)                        | PASSED   | 67.9s      |  |
| 22. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)                 | PASSED   | 70.3s      |  |
| 23. rocm_speculative_sampling (in bazeltest_rocmimpl_all.log)            | PASSED   | 69.4s      |  |
| 24. sampler_test (in bazeltest_rocmimpl_all.log)                         | PASSED   | 68.9s      |  |
| 25. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)             | PASSED   | 64.9s      |  |
| 26. rocm_embedding_test (in bazeltest_py_all.log)                        | PASSED   | 56.0s      |  |
| 27. rocm_fmha_test (in bazeltest_py_all.log)                             | PASSED   | 210.1s     |  |
| 28. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)              | PASSED   | 55.8s      |  |
| 29. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)                   | PASSED   | 61.2s      |  |
| 30. rocm_general_layer_norm_test (in bazeltest_py_all.log)               | PASSED   | 58.0s      |  |
| 31. rocm_layer_norm_test (in bazeltest_py_all.log)                       | PASSED   | 57.3s      |  |
| 32. rocm_norm_test (in bazeltest_py_all.log)                             | PASSED   | 60.4s      |  |
| 33. rocm_fused_moe_test (in bazeltest_py_all.log)                        | PASSED   | 66.7s      |  |
| 34. fp8_ptpc_linear_test (in bazeltest_py_all.log)                       | PASSED   | 95.9s      |  |
| 35. rocm_linear_test (in bazeltest_py_all.log)                           | PASSED   | 58.8s      |  |
| Bert_fp16_4l_sku_mean_909                                                | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                                 | MATCH    | -          |  |
| Bert_int8                                                                | MISMATCH | -          |  |
| Qwen3_30B_A3B_bf16_moe                                                   | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                                 | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                         | FAILED   | -          |  |
| Qwen3_32B_bf16_dense                                                     | MATCH    | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                           | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                                    | FAILED   | -          |  |
| Qwen_VL_TP1                                                              | MATCH    | -          |  |
| Qwen_VL_TP4                                                              | MATCH    | -          |  |
