| case_name                                                           | status   | duration   |  |
| -----------                                                         | -------- | ---------- |  |
| 1. //rtp_llm/cpp/devices/rocm_impl/test:embedding_lookup_test       | PASSED   | 25.4s      |  |
| 2. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test                | PASSED   | 27.4s      |  |
| 3. //rtp_llm/cpp/devices/rocm_impl/test:layernorm_test              | PASSED   | 25.3s      |  |
| 4. //rtp_llm/cpp/devices/rocm_impl/test:rccl_test                   | PASSED   | 24.5s      |  |
| 5. //rtp_llm/cpp/devices/rocm_impl/test:rocm_act_op_test            | PASSED   | 25.2s      |  |
| 6. //rtp_llm/cpp/devices/rocm_impl/test:rocm_attention_op_test      | PASSED   | 26.1s      |  |
| 7. //rtp_llm/cpp/devices/rocm_impl/test:rocm_basic_test             | PASSED   | 26.3s      |  |
| 8. //rtp_llm/cpp/devices/rocm_impl/test:rocm_custom_all_reduce_test | PASSED   | 25.2s      |  |
| 9. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ffn_op_test            | PASSED   | 28.4s      |  |
| 10. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ops_test              | PASSED   | 25.3s      |  |
| 11. //rtp_llm/cpp/devices/rocm_impl/test:rocm_softmax_op_test       | PASSED   | 25.0s      |  |
| 12. //rtp_llm/cpp/devices/rocm_impl/test:sampler_test               | PASSED   | 28.0s      |  |
| 13. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test               | PASSED   | 25.2s      |  |
| 14. //tests:fused_qk_rmsnorm                                        | PASSED   | 25.4s      |  |
| 15. //tests:rocm_gemm_op_test                                       | PASSED   | 81.8s      |  |
| 16. //tests:rocm_mla_context_attention                              | PASSED   | 26.2s      |  |
| 17. //tests:rocm_mla_decode_attention                               | PASSED   | 24.8s      |  |
| 18. //tests:rocm_mla_rotary_kvcache_test                            | PASSED   | 59.0s      |  |
| 4l_sku_mean_909_fp16_bert                                           | MATCH    | -          |  |
| 4l_sku_mean_909_fp8_bert                                            | MATCH    | -          |  |
| int8_bert                                                           | MATCH    | -          |  |
| Qwen3_30B_A3B_bf16_moe                                              | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                                | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense                                             | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_sync_with_ali                               | MATCH    | -          |  |
