| case_name                                                           | status   | duration   |  |
| -----------                                                         | -------- | ---------- |  |
| 1. //rtp_llm/cpp/devices/rocm_impl/test:embedding_lookup_test       | PASSED   | 27.0s      |  |
| 2. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test                | PASSED   | 28.3s      |  |
| 3. //rtp_llm/cpp/devices/rocm_impl/test:layernorm_test              | PASSED   | 28.8s      |  |
| 4. //rtp_llm/cpp/devices/rocm_impl/test:rccl_test                   | PASSED   | 28.4s      |  |
| 5. //rtp_llm/cpp/devices/rocm_impl/test:rocm_act_op_test            | PASSED   | 26.6s      |  |
| 6. //rtp_llm/cpp/devices/rocm_impl/test:rocm_attention_op_test      | PASSED   | 25.2s      |  |
| 7. //rtp_llm/cpp/devices/rocm_impl/test:rocm_basic_test             | PASSED   | 27.3s      |  |
| 8. //rtp_llm/cpp/devices/rocm_impl/test:rocm_custom_all_reduce_test | PASSED   | 28.1s      |  |
| 9. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ffn_op_test            | PASSED   | 31.5s      |  |
| 10. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ops_test              | PASSED   | 28.8s      |  |
| 11. //rtp_llm/cpp/devices/rocm_impl/test:rocm_softmax_op_test       | PASSED   | 28.3s      |  |
| 12. //rtp_llm/cpp/devices/rocm_impl/test:sampler_test               | PASSED   | 27.6s      |  |
| 13. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test               | PASSED   | 28.5s      |  |
| 14. //tests:fused_qk_rmsnorm                                        | PASSED   | 24.0s      |  |
| 15. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 26.8s      |  |
| 16. //tests:rocm_gemm_op_test                                       | PASSED   | 76.4s      |  |
| 17. //tests:rocm_mla_context_attention                              | PASSED   | 26.6s      |  |
| 18. //tests:rocm_mla_decode_attention                               | PASSED   | 25.9s      |  |
| 19. //tests:rocm_mla_rotary_kvcache_test                            | PASSED   | 72.4s      |  |
| 20. //tests:rocm_pertensor_int8_gemm_op_test                        | PASSED   | 30.9s      |  |
| 21. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 29.3s      |  |
| Qwen3-30B-A3B                                                       | MATCH    | -          |  |
| Qwen3-32B                                                           | MATCH    | -          |  |
| Qwen3-8B-FP8-Dynamic                                                | MATCH    | -          |  |
