| case_name                                                           | status   | duration   |  |
| -----------                                                         | -------- | ---------- |  |
| 1. //rtp_llm/cpp/devices/rocm_impl/test:embedding_lookup_test       | PASSED   | 26.5s      |  |
| 2. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test                | PASSED   | 26.6s      |  |
| 3. //rtp_llm/cpp/devices/rocm_impl/test:layernorm_test              | PASSED   | 26.0s      |  |
| 4. //rtp_llm/cpp/devices/rocm_impl/test:rccl_test                   | PASSED   | 25.8s      |  |
| 5. //rtp_llm/cpp/devices/rocm_impl/test:rocm_act_op_test            | PASSED   | 26.7s      |  |
| 6. //rtp_llm/cpp/devices/rocm_impl/test:rocm_attention_op_test      | PASSED   | 26.5s      |  |
| 7. //rtp_llm/cpp/devices/rocm_impl/test:rocm_basic_test             | PASSED   | 26.5s      |  |
| 8. //rtp_llm/cpp/devices/rocm_impl/test:rocm_custom_all_reduce_test | PASSED   | 26.2s      |  |
| 9. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ffn_op_test            | PASSED   | 29.2s      |  |
| 10. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ops_test              | PASSED   | 26.4s      |  |
| 11. //rtp_llm/cpp/devices/rocm_impl/test:rocm_softmax_op_test       | PASSED   | 26.4s      |  |
| 12. //rtp_llm/cpp/devices/rocm_impl/test:sampler_test               | PASSED   | 26.1s      |  |
| 13. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test               | PASSED   | 25.6s      |  |
| 14. //tests:fused_qk_rmsnorm                                        | PASSED   | 25.4s      |  |
| 15. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 28.9s      |  |
| 16. //tests:rocm_gemm_op_test                                       | PASSED   | 74.8s      |  |
| 17. //tests:rocm_mla_context_attention                              | PASSED   | 24.0s      |  |
| 18. //tests:rocm_mla_decode_attention                               | PASSED   | 22.8s      |  |
| 19. //tests:rocm_mla_rotary_kvcache_test                            | PASSED   | 61.6s      |  |
| 20. //tests:rocm_pertensor_int8_gemm_op_test                        | PASSED   | 27.4s      |  |
| 21. //tests:rocm_ptpc_a8w8_gemm_op_test                             | PASSED   | 29.9s      |  |
| 22. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 29.2s      |  |
| Qwen3_30B_A3B_bf16_moe                                              | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                                | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense                                             | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_sync_with_ali                               | MISMATCH | -          |  |
