| case_name                                                           | status   | duration   |  |
| -----------                                                         | -------- | ---------- |  |
| 1. //rtp_llm/cpp/devices/rocm_impl/test:embedding_lookup_test       | PASSED   | 29.1s      |  |
| 2. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test                | PASSED   | 27.3s      |  |
| 3. //rtp_llm/cpp/devices/rocm_impl/test:layernorm_test              | PASSED   | 28.8s      |  |
| 4. //rtp_llm/cpp/devices/rocm_impl/test:rccl_test                   | PASSED   | 27.1s      |  |
| 5. //rtp_llm/cpp/devices/rocm_impl/test:rocm_act_op_test            | PASSED   | 26.7s      |  |
| 6. //rtp_llm/cpp/devices/rocm_impl/test:rocm_attention_op_test      | PASSED   | 26.0s      |  |
| 7. //rtp_llm/cpp/devices/rocm_impl/test:rocm_basic_test             | PASSED   | 26.6s      |  |
| 8. //rtp_llm/cpp/devices/rocm_impl/test:rocm_custom_all_reduce_test | PASSED   | 26.7s      |  |
| 9. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ffn_op_test            | PASSED   | 29.7s      |  |
| 10. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ops_test              | PASSED   | 26.4s      |  |
| 11. //rtp_llm/cpp/devices/rocm_impl/test:rocm_softmax_op_test       | PASSED   | 26.5s      |  |
| 12. //rtp_llm/cpp/devices/rocm_impl/test:sampler_test               | PASSED   | 26.9s      |  |
| 13. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test               | PASSED   | 26.7s      |  |
| 14. //tests:fused_qk_rmsnorm                                        | PASSED   | 28.7s      |  |
| 15. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 30.8s      |  |
| 16. //tests:rocm_gemm_op_test                                       | PASSED   | 81.0s      |  |
| 17. //tests:rocm_mla_context_attention                              | PASSED   | 28.0s      |  |
| 18. //tests:rocm_mla_decode_attention                               | PASSED   | 25.5s      |  |
| 19. //tests:rocm_mla_rotary_kvcache_test                            | PASSED   | 61.0s      |  |
| 20. //tests:rocm_pertensor_int8_gemm_op_test                        | PASSED   | 31.7s      |  |
| 21. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 31.8s      |  |
| Qwen3_30B_A3B_fp8_moe_llmcompressor                                 | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_moe_Quark                                         | FAILED   | -          |  |
| 4l_sku_mean_909_fp16_bert                                           | MATCH    | -          |  |
| 4l_sku_mean_909_fp8_bert                                            | MATCH    | -          |  |
| int8_bert                                                           | MATCH    | -          |  |
| Qwen3_30B_A3B_bf16_moe                                              | MATCH    | -          |  |
| Qwen3_32B_bf16_dense                                                | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_sync_with_ali                               | MISMATCH | -          |  |
