| case_name                                                           | status   | duration   |  |
| -----------                                                         | -------- | ---------- |  |
| 1. //rtp_llm/cpp/devices/rocm_impl/test:embedding_lookup_test       | PASSED   | 26.0s      |  |
| 2. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test                | PASSED   | 26.4s      |  |
| 3. //rtp_llm/cpp/devices/rocm_impl/test:layernorm_test              | PASSED   | 25.5s      |  |
| 4. //rtp_llm/cpp/devices/rocm_impl/test:rccl_test                   | PASSED   | 27.4s      |  |
| 5. //rtp_llm/cpp/devices/rocm_impl/test:rocm_act_op_test            | PASSED   | 26.4s      |  |
| 6. //rtp_llm/cpp/devices/rocm_impl/test:rocm_attention_op_test      | PASSED   | 25.7s      |  |
| 7. //rtp_llm/cpp/devices/rocm_impl/test:rocm_basic_test             | PASSED   | 26.2s      |  |
| 8. //rtp_llm/cpp/devices/rocm_impl/test:rocm_custom_all_reduce_test | PASSED   | 26.4s      |  |
| 9. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ffn_op_test            | PASSED   | 28.0s      |  |
| 10. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ops_test              | PASSED   | 26.6s      |  |
| 11. //rtp_llm/cpp/devices/rocm_impl/test:rocm_softmax_op_test       | PASSED   | 25.9s      |  |
| 12. //rtp_llm/cpp/devices/rocm_impl/test:sampler_test               | PASSED   | 25.7s      |  |
| 13. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test               | PASSED   | 26.1s      |  |
| 14. //tests:fused_qk_rmsnorm                                        | PASSED   | 23.5s      |  |
| 15. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 25.6s      |  |
| 16. //tests:rocm_gemm_op_test                                       | PASSED   | 74.8s      |  |
| 17. //tests:rocm_mla_context_attention                              | PASSED   | 23.5s      |  |
| 18. //tests:rocm_mla_decode_attention                               | PASSED   | 23.1s      |  |
| 19. //tests:rocm_mla_rotary_kvcache_test                            | PASSED   | 64.2s      |  |
| 20. //tests:rocm_pertensor_int8_gemm_op_test                        | PASSED   | 26.1s      |  |
| 21. //tests:rocm_ptpc_a8w8_gemm_op_test                             | PASSED   | 27.0s      |  |
| 22. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 27.0s      |  |
| Qwen3-30B-A3B                                                       | MISMATCH | -          |  |
| Qwen3-32B                                                           | MATCH    | -          |  |
