| case_name                                                       | status   | duration   |  |
| -----------                                                     | -------- | ---------- |  |
| 1. rocm_embedding_test (in bazeltest_py_all.log)                | PASSED   | 16.6s      |  |
| 2. rocm_fmha_test (in bazeltest_py_all.log)                     | PASSED   | 355.4s     |  |
| 3. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)      | PASSED   | 16.0s      |  |
| 4. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)           | PASSED   | 16.2s      |  |
| 5. rocm_general_layer_norm_test (in bazeltest_py_all.log)       | PASSED   | 16.8s      |  |
| 6. rocm_layer_norm_test (in bazeltest_py_all.log)               | PASSED   | 16.2s      |  |
| 7. rocm_norm_test (in bazeltest_py_all.log)                     | PASSED   | 17.4s      |  |
| 8. test_trt_allreduce_graph_replay (in bazeltest_py_all.log)    | PASSED   | 37.7s      |  |
| 9. test_unified_allreduce_tp (in bazeltest_py_all.log)          | PASSED   | 63.7s      |  |
| 10. trt_allreduce_test (in bazeltest_py_all.log)                | PASSED   | 106.5s     |  |
| 11. moriep_intranode_router_test_2gpu (in bazeltest_py_all.log) | PASSED   | 2.9s       |  |
| 12. moriep_intranode_router_test_4gpu (in bazeltest_py_all.log) | PASSED   | 2.9s       |  |
| 13. rocm_fp8_fused_moe_test (in bazeltest_py_all.log)           | PASSED   | 293.3s     |  |
| 14. rocm_fused_moe_test (in bazeltest_py_all.log)               | PASSED   | 145.0s     |  |
| 15. rocm_mxfp4_fused_moe_test (in bazeltest_py_all.log)         | PASSED   | 17.1s      |  |
| 16. test_pure_tp_router (in bazeltest_py_all.log)               | PASSED   | 16.4s      |  |
| 17. torch_moe_ref_test (in bazeltest_py_all.log)                | PASSED   | 15.4s      |  |
| 18. fp8_ptpc_linear_test (in bazeltest_py_all.log)              | PASSED   | 112.2s     |  |
| 19. rocm_linear_test (in bazeltest_py_all.log)                  | PASSED   | 62.7s      |  |
| Bert_fp16_4l_sku_mean_909                                       | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                        | MATCH    | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                  | MATCH    | -          |  |
| Qwen3_30B_A3B_bf16_moe                                          | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark_ASM_PA                         | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark_TRITON_PA                      | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                        | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                            | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                           | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_ASM_PA                    | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_TRITON_PA                 | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache                | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache_ASM_PA         | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache_TRITON_PA      | MATCH    | -          |  |
