| case_name                                                           | status   | duration   |  |
| -----------                                                         | -------- | ---------- |  |
| 1. //rtp_llm/cpp/devices/rocm_impl/test:embedding_lookup_test       | PASSED   | 26.9s      |  |
| 2. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test                | PASSED   | 25.9s      |  |
| 3. //rtp_llm/cpp/devices/rocm_impl/test:layernorm_test              | PASSED   | 27.2s      |  |
| 4. //rtp_llm/cpp/devices/rocm_impl/test:rccl_test                   | PASSED   | 27.6s      |  |
| 5. //rtp_llm/cpp/devices/rocm_impl/test:rocm_act_op_test            | PASSED   | 27.1s      |  |
| 6. //rtp_llm/cpp/devices/rocm_impl/test:rocm_attention_op_test      | PASSED   | 26.0s      |  |
| 7. //rtp_llm/cpp/devices/rocm_impl/test:rocm_basic_test             | PASSED   | 27.8s      |  |
| 8. //rtp_llm/cpp/devices/rocm_impl/test:rocm_custom_all_reduce_test | PASSED   | 26.9s      |  |
| 9. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ffn_op_test            | PASSED   | 28.9s      |  |
| 10. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ops_test              | PASSED   | 27.4s      |  |
| 11. //rtp_llm/cpp/devices/rocm_impl/test:rocm_softmax_op_test       | PASSED   | 27.1s      |  |
| 12. //rtp_llm/cpp/devices/rocm_impl/test:sampler_test               | PASSED   | 27.1s      |  |
| 13. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test               | PASSED   | 27.4s      |  |
| 14. //tests:fused_qk_rmsnorm                                        | PASSED   | 24.6s      |  |
| 15. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 26.4s      |  |
| 16. //tests:rocm_gemm_op_test                                       | PASSED   | 76.7s      |  |
| 17. //tests:rocm_mla_context_attention                              | PASSED   | 24.2s      |  |
| 18. //tests:rocm_mla_decode_attention                               | PASSED   | 23.2s      |  |
| 19. //tests:rocm_mla_rotary_kvcache_test                            | PASSED   | 60.0s      |  |
| 20. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 27.1s      |  |
| Qwen3-30B-A3B                                                       | MATCH    | -          |  |
| Qwen3-32B                                                           | MATCH    | -          |  |
| Qwen3-8B-FP8-Dynamic                                                | MATCH    | -          |  |
