| case_name                                                   | status   | duration   |  |
| -----------                                                 | -------- | ---------- |  |
| 1. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log) | FAILED   | N/A        |  |
| 2. rocm_embedding_test (in bazeltest_py_all.log)            | PASSED   | 66.7s      |  |
| 3. rocm_fmha_test (in bazeltest_py_all.log)                 | PASSED   | 281.5s     |  |
| 4. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)  | PASSED   | 68.1s      |  |
| 5. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)       | PASSED   | 72.1s      |  |
| 6. rocm_general_layer_norm_test (in bazeltest_py_all.log)   | PASSED   | 65.0s      |  |
| 7. rocm_layer_norm_test (in bazeltest_py_all.log)           | PASSED   | 68.7s      |  |
| 8. rocm_norm_test (in bazeltest_py_all.log)                 | PASSED   | 70.5s      |  |
| 9. rocm_fused_moe_test (in bazeltest_py_all.log)            | PASSED   | 72.7s      |  |
| 10. fp8_ptpc_linear_test (in bazeltest_py_all.log)          | PASSED   | 106.1s     |  |
| 11. rocm_linear_test (in bazeltest_py_all.log)              | PASSED   | 109.9s     |  |
| Bert_int8                                                   | FAILED   | -          |  |
| Qwen3_30B_A3B_bf16_moe                                      | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                    | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                            | FAILED   | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                              | FAILED   | -          |  |
| Bert_fp16_4l_sku_mean_909                                   | MISMATCH | -          |  |
| Bert_fp8_4l_sku_mean_909                                    | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                        | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                       | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache            | FAILED   | -          |  |
| Qwen_VL_TP1                                                 | FAILED   | -          |  |
| Qwen_VL_TP4                                                 | MISMATCH | -          |  |
