| case_name                                                       | status   | duration   |  |
| -----------                                                     | -------- | ---------- |  |
| 1. rocm_embedding_test (in bazeltest_py_all.log)                | PASSED   | 16.9s      |  |
| 2. rocm_fmha_test (in bazeltest_py_all.log)                     | PASSED   | 352.3s     |  |
| 3. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)      | PASSED   | 16.1s      |  |
| 4. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)           | PASSED   | 16.1s      |  |
| 5. rocm_general_layer_norm_test (in bazeltest_py_all.log)       | PASSED   | 16.1s      |  |
| 6. rocm_layer_norm_test (in bazeltest_py_all.log)               | PASSED   | 16.1s      |  |
| 7. rocm_norm_test (in bazeltest_py_all.log)                     | PASSED   | 16.2s      |  |
| 8. test_trt_allreduce_graph_replay (in bazeltest_py_all.log)    | PASSED   | 36.7s      |  |
| 9. test_unified_allreduce_tp (in bazeltest_py_all.log)          | PASSED   | 59.8s      |  |
| 10. trt_allreduce_test (in bazeltest_py_all.log)                | PASSED   | 108.2s     |  |
| 11. moriep_intranode_router_test_2gpu (in bazeltest_py_all.log) | PASSED   | 3.0s       |  |
| 12. moriep_intranode_router_test_4gpu (in bazeltest_py_all.log) | PASSED   | 3.1s       |  |
| 13. rocm_fp8_fused_moe_test (in bazeltest_py_all.log)           | PASSED   | 275.9s     |  |
| 14. rocm_fused_moe_test (in bazeltest_py_all.log)               | PASSED   | 145.4s     |  |
| 15. rocm_mxfp4_fused_moe_test (in bazeltest_py_all.log)         | PASSED   | 15.9s      |  |
| 16. test_pure_tp_router (in bazeltest_py_all.log)               | PASSED   | 15.7s      |  |
| 17. torch_moe_ref_test (in bazeltest_py_all.log)                | PASSED   | 15.5s      |  |
| 18. fp8_ptpc_linear_test (in bazeltest_py_all.log)              | PASSED   | 110.2s     |  |
| 19. rocm_linear_test (in bazeltest_py_all.log)                  | PASSED   | 59.6s      |  |
| Bert_int8                                                       | FAILED   | -          |  |
| Bert_fp16_4l_sku_mean_909                                       | MISMATCH | -          |  |
| Bert_fp8_4l_sku_mean_909                                        | MISMATCH | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                  | MATCH    | -          |  |
| Qwen3_30B_A3B_bf16_moe                                          | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                        | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                            | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                           | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache                | FAILED   | -          |  |
| Qwen_VL_TP1                                                     | MISMATCH | -          |  |
| Qwen_VL_TP4                                                     | MISMATCH | -          |  |
