| case_name                                                       | status   | duration   |  |
| -----------                                                     | -------- | ---------- |  |
| 1. rocm_embedding_test (in bazeltest_py_all.log)                | PASSED   | 16.1s      |  |
| 2. rocm_fmha_test (in bazeltest_py_all.log)                     | PASSED   | 396.6s     |  |
| 3. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)      | PASSED   | 15.9s      |  |
| 4. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)           | PASSED   | 16.5s      |  |
| 5. rocm_general_layer_norm_test (in bazeltest_py_all.log)       | FAILED   | N/A        |  |
| 6. rocm_layer_norm_test (in bazeltest_py_all.log)               | PASSED   | 16.5s      |  |
| 7. rocm_norm_test (in bazeltest_py_all.log)                     | PASSED   | 17.7s      |  |
| 8. test_trt_allreduce_graph_replay (in bazeltest_py_all.log)    | PASSED   | 37.1s      |  |
| 9. test_unified_allreduce_tp (in bazeltest_py_all.log)          | FAILED   | N/A        |  |
| 10. trt_allreduce_test (in bazeltest_py_all.log)                | FAILED   | N/A        |  |
| 11. moriep_intranode_router_test_2gpu (in bazeltest_py_all.log) | PASSED   | 4.0s       |  |
| 12. moriep_intranode_router_test_4gpu (in bazeltest_py_all.log) | PASSED   | 3.8s       |  |
| 13. rocm_fp8_fused_moe_test (in bazeltest_py_all.log)           | PASSED   | 289.5s     |  |
| 14. rocm_fused_moe_test (in bazeltest_py_all.log)               | PASSED   | 149.4s     |  |
| 15. rocm_mxfp4_fused_moe_test (in bazeltest_py_all.log)         | PASSED   | 16.5s      |  |
| 16. test_generic_moe_allreduce (in bazeltest_py_all.log)        | PASSED   | 197.1s     |  |
| 17. test_pure_tp_router (in bazeltest_py_all.log)               | PASSED   | 15.3s      |  |
| 18. torch_moe_ref_test (in bazeltest_py_all.log)                | PASSED   | 15.2s      |  |
| 19. fp8_ptpc_linear_test (in bazeltest_py_all.log)              | PASSED   | 114.6s     |  |
| 20. rocm_linear_test (in bazeltest_py_all.log)                  | PASSED   | 62.7s      |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                  | FAILED   | -          |  |
| Qwen3_30B_A3B_bf16_moe                                          | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark_ASM_PA                         | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark_TRITON_PA                      | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                        | FAILED   | -          |  |
| Qwen3_32B_bf16_dense                                            | FAILED   | -          |  |
| Bert_fp16_4l_sku_mean_909                                       | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                        | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                           | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_ASM_PA                    | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_TRITON_PA                 | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache                | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache_ASM_PA         | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache_TRITON_PA      | MATCH    | -          |  |
