| case_name                                                       | status   | duration   |  |
| -----------                                                     | -------- | ---------- |  |
| 1. rocm_embedding_test (in bazeltest_py_all.log)                | PASSED   | 20.8s      |  |
| 2. rocm_fmha_test (in bazeltest_py_all.log)                     | PASSED   | 362.6s     |  |
| 3. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)      | PASSED   | 16.7s      |  |
| 4. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)           | PASSED   | 17.0s      |  |
| 5. rocm_general_layer_norm_test (in bazeltest_py_all.log)       | FAILED   | N/A        |  |
| 6. rocm_layer_norm_test (in bazeltest_py_all.log)               | PASSED   | 19.3s      |  |
| 7. rocm_norm_test (in bazeltest_py_all.log)                     | PASSED   | 18.2s      |  |
| 8. test_trt_allreduce_graph_replay (in bazeltest_py_all.log)    | PASSED   | 62.7s      |  |
| 9. test_unified_allreduce_tp (in bazeltest_py_all.log)          | FAILED   | N/A        |  |
| 10. trt_allreduce_test (in bazeltest_py_all.log)                | PASSED   | 126.7s     |  |
| 11. moriep_intranode_router_test_2gpu (in bazeltest_py_all.log) | PASSED   | 3.0s       |  |
| 12. moriep_intranode_router_test_4gpu (in bazeltest_py_all.log) | PASSED   | 3.2s       |  |
| 13. rocm_fp8_fused_moe_test (in bazeltest_py_all.log)           | PASSED   | 292.4s     |  |
| 14. rocm_fused_moe_test (in bazeltest_py_all.log)               | PASSED   | 153.6s     |  |
| 15. rocm_mxfp4_fused_moe_test (in bazeltest_py_all.log)         | PASSED   | 16.2s      |  |
| 16. test_pure_tp_router (in bazeltest_py_all.log)               | PASSED   | 16.8s      |  |
| 17. torch_moe_ref_test (in bazeltest_py_all.log)                | PASSED   | 16.3s      |  |
| 18. fp8_ptpc_linear_test (in bazeltest_py_all.log)              | PASSED   | 111.6s     |  |
| 19. rocm_linear_test (in bazeltest_py_all.log)                  | PASSED   | 60.8s      |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                  | FAILED   | -          |  |
| Qwen3_30B_A3B_bf16_moe                                          | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark_ASM_PA                         | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark_TRITON_PA                      | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                        | FAILED   | -          |  |
| Qwen3_32B_bf16_dense                                            | FAILED   | -          |  |
| Bert_fp16_4l_sku_mean_909                                       | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                        | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                           | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_ASM_PA                    | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_TRITON_PA                 | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache                | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache_ASM_PA         | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache_TRITON_PA      | MATCH    | -          |  |
