| case_name                                                      | status   | duration   |  |
| -----------                                                    | -------- | ---------- |  |
| 1. embedding_lookup_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 52.7s      |  |
| 2. gemm_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 50.7s      |  |
| 3. layernorm_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 53.9s      |  |
| 4. rccl_test (in bazeltest_rocmimpl_all.log)                   | PASSED   | 50.2s      |  |
| 5. rocm_act_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 51.0s      |  |
| 6. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)      | PASSED   | 51.5s      |  |
| 7. rocm_basic_test (in bazeltest_rocmimpl_all.log)             | PASSED   | 51.7s      |  |
| 8. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log) | PASSED   | 53.0s      |  |
| 9. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 55.3s      |  |
| 10. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)   | PASSED   | 50.0s      |  |
| 11. rocm_ops_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 49.9s      |  |
| 12. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 48.9s      |  |
| 13. rocm_speculative_sampling (in bazeltest_rocmimpl_all.log)  | PASSED   | 52.4s      |  |
| 14. sampler_test (in bazeltest_rocmimpl_all.log)               | PASSED   | 49.8s      |  |
| 15. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)   | PASSED   | 49.4s      |  |
| 16. rocm_embedding_test (in bazeltest_py_all.log)              | PASSED   | 58.2s      |  |
| 17. rocm_fmha_test (in bazeltest_py_all.log)                   | PASSED   | 204.7s     |  |
| 18. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)    | PASSED   | 56.8s      |  |
| 19. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)         | PASSED   | 61.6s      |  |
| 20. rocm_general_layer_norm_test (in bazeltest_py_all.log)     | PASSED   | 57.5s      |  |
| 21. rocm_layer_norm_test (in bazeltest_py_all.log)             | PASSED   | 60.9s      |  |
| 22. rocm_norm_test (in bazeltest_py_all.log)                   | PASSED   | 62.1s      |  |
| 23. rocm_fused_moe_test (in bazeltest_py_all.log)              | PASSED   | 63.4s      |  |
| 24. fp8_ptpc_linear_test (in bazeltest_py_all.log)             | PASSED   | 95.6s      |  |
| 25. rocm_linear_test (in bazeltest_py_all.log)                 | PASSED   | 103.3s     |  |
| Bert_fp16_4l_sku_mean_909                                      | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                       | MATCH    | -          |  |
| Bert_int8                                                      | MISMATCH | -          |  |
| Qwen3_30B_A3B_bf16_moe                                         | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                       | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                               | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                           | MATCH    | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                 | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                          | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache               | MATCH    | -          |  |
| Qwen_VL_TP1                                                    | MATCH    | -          |  |
| Qwen_VL_TP4                                                    | MATCH    | -          |  |
