| case_name                                                      | status   | duration   |  |
| -----------                                                    | -------- | ---------- |  |
| 1. embedding_lookup_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 48.3s      |  |
| 2. gemm_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 48.9s      |  |
| 3. layernorm_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 52.0s      |  |
| 4. rccl_test (in bazeltest_rocmimpl_all.log)                   | PASSED   | 51.3s      |  |
| 5. rocm_act_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 49.9s      |  |
| 6. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)      | PASSED   | 51.3s      |  |
| 7. rocm_basic_test (in bazeltest_rocmimpl_all.log)             | PASSED   | 50.8s      |  |
| 8. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log) | PASSED   | 51.0s      |  |
| 9. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 51.8s      |  |
| 10. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)   | PASSED   | 49.3s      |  |
| 11. rocm_ops_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 50.9s      |  |
| 12. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 50.5s      |  |
| 13. rocm_speculative_sampling (in bazeltest_rocmimpl_all.log)  | PASSED   | 50.3s      |  |
| 14. sampler_test (in bazeltest_rocmimpl_all.log)               | PASSED   | 49.2s      |  |
| 15. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)   | PASSED   | 54.0s      |  |
| 16. rocm_embedding_test (in bazeltest_py_all.log)              | PASSED   | 58.3s      |  |
| 17. rocm_fmha_test (in bazeltest_py_all.log)                   | PASSED   | 202.7s     |  |
| 18. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)    | PASSED   | 55.6s      |  |
| 19. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)         | PASSED   | 59.3s      |  |
| 20. rocm_general_layer_norm_test (in bazeltest_py_all.log)     | PASSED   | 56.9s      |  |
| 21. rocm_layer_norm_test (in bazeltest_py_all.log)             | PASSED   | 59.1s      |  |
| 22. rocm_norm_test (in bazeltest_py_all.log)                   | PASSED   | 62.0s      |  |
| 23. rocm_fused_moe_test (in bazeltest_py_all.log)              | PASSED   | 64.4s      |  |
| 24. fp8_ptpc_linear_test (in bazeltest_py_all.log)             | PASSED   | 98.7s      |  |
| 25. rocm_linear_test (in bazeltest_py_all.log)                 | PASSED   | 99.4s      |  |
| Bert_fp16_4l_sku_mean_909                                      | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                       | MATCH    | -          |  |
| Bert_int8                                                      | MISMATCH | -          |  |
| Qwen3_30B_A3B_bf16_moe                                         | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                       | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                               | MATCH    | -          |  |
| Qwen3_32B_bf16_dense                                           | MATCH    | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                 | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                          | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache               | MATCH    | -          |  |
| Qwen_VL_TP1                                                    | MATCH    | -          |  |
| Qwen_VL_TP4                                                    | MATCH    | -          |  |
