| case_name                                                      | status   | duration   |  |
| -----------                                                    | -------- | ---------- |  |
| 1. embedding_lookup_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 24.3s      |  |
| 2. gemm_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 25.2s      |  |
| 3. layernorm_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 23.9s      |  |
| 4. rccl_test (in bazeltest_rocmimpl_all.log)                   | PASSED   | 23.5s      |  |
| 5. rocm_act_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 24.3s      |  |
| 6. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)      | PASSED   | 24.0s      |  |
| 7. rocm_basic_test (in bazeltest_rocmimpl_all.log)             | PASSED   | 24.6s      |  |
| 8. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log) | PASSED   | 23.3s      |  |
| 9. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 28.8s      |  |
| 10. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)   | PASSED   | 24.3s      |  |
| 11. rocm_ops_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 25.0s      |  |
| 12. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 24.2s      |  |
| 13. sampler_test (in bazeltest_rocmimpl_all.log)               | PASSED   | 24.6s      |  |
| 14. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)   | PASSED   | 24.4s      |  |
| 15. rocm_embedding_test (in bazeltest_py_all.log)              | PASSED   | 28.9s      |  |
| 16. rocm_fmha_test (in bazeltest_py_all.log)                   | PASSED   | 245.7s     |  |
| 17. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)    | PASSED   | 28.3s      |  |
| 18. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)         | PASSED   | 31.6s      |  |
| 19. rocm_general_layer_norm_test (in bazeltest_py_all.log)     | PASSED   | 27.9s      |  |
| 20. rocm_layer_norm_test (in bazeltest_py_all.log)             | PASSED   | 28.2s      |  |
| 21. rocm_norm_test (in bazeltest_py_all.log)                   | PASSED   | 31.4s      |  |
| 22. rocm_fused_moe_test (in bazeltest_py_all.log)              | PASSED   | 156.7s     |  |
| 23. fp8_ptpc_linear_test (in bazeltest_py_all.log)             | PASSED   | 26.7s      |  |
| 24. rocm_linear_test (in bazeltest_py_all.log)                 | PASSED   | 70.5s      |  |
| Bert_fp16_4l_sku_mean_909                                      | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                       | MATCH    | -          |  |
| Bert_int8                                                      | MATCH    | -          |  |
| Qwen3_30B_A3B_bf16_moe                                         | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                       | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                               | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                           | MATCH    | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                 | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                          | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache               | MATCH    | -          |  |
| Qwen_VL_TP1                                                    | MATCH    | -          |  |
| Qwen_VL_TP4                                                    | MATCH    | -          |  |
