| case_name                                                      | status   | duration   |  |
| -----------                                                    | -------- | ---------- |  |
| 1. embedding_lookup_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 65.7s      |  |
| 2. gemm_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 66.7s      |  |
| 3. layernorm_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 66.7s      |  |
| 4. rccl_test (in bazeltest_rocmimpl_all.log)                   | PASSED   | 67.3s      |  |
| 5. rocm_act_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 65.2s      |  |
| 6. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)      | PASSED   | 66.0s      |  |
| 7. rocm_basic_test (in bazeltest_rocmimpl_all.log)             | PASSED   | 66.5s      |  |
| 8. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log) | PASSED   | 68.0s      |  |
| 9. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 67.5s      |  |
| 10. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)   | PASSED   | 65.0s      |  |
| 11. rocm_ops_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 64.7s      |  |
| 12. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 68.0s      |  |
| 13. rocm_speculative_sampling (in bazeltest_rocmimpl_all.log)  | PASSED   | 65.6s      |  |
| 14. sampler_test (in bazeltest_rocmimpl_all.log)               | PASSED   | 68.3s      |  |
| 15. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)   | PASSED   | 66.8s      |  |
| 16. rocm_embedding_test (in bazeltest_py_all.log)              | PASSED   | 57.1s      |  |
| 17. rocm_fmha_test (in bazeltest_py_all.log)                   | PASSED   | 201.6s     |  |
| 18. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)    | PASSED   | 58.1s      |  |
| 19. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)         | PASSED   | 63.0s      |  |
| 20. rocm_general_layer_norm_test (in bazeltest_py_all.log)     | PASSED   | 58.1s      |  |
| 21. rocm_layer_norm_test (in bazeltest_py_all.log)             | PASSED   | 55.9s      |  |
| 22. rocm_norm_test (in bazeltest_py_all.log)                   | PASSED   | 63.5s      |  |
| 23. rocm_fused_moe_test (in bazeltest_py_all.log)              | PASSED   | 67.0s      |  |
| 24. fp8_ptpc_linear_test (in bazeltest_py_all.log)             | PASSED   | 96.3s      |  |
| 25. rocm_linear_test (in bazeltest_py_all.log)                 | PASSED   | 101.0s     |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                 | FAILED   | -          |  |
| Bert_fp16_4l_sku_mean_909                                      | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                       | MATCH    | -          |  |
| Bert_int8                                                      | MISMATCH | -          |  |
| Qwen3_30B_A3B_bf16_moe                                         | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                       | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                               | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                           | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                          | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache               | MATCH    | -          |  |
| Qwen_VL_TP1                                                    | MISMATCH | -          |  |
| Qwen_VL_TP4                                                    | MISMATCH | -          |  |
