| case_name                                                      | status   | duration   |  |
| -----------                                                    | -------- | ---------- |  |
| 1. embedding_lookup_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 67.9s      |  |
| 2. gemm_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 65.9s      |  |
| 3. layernorm_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 66.5s      |  |
| 4. rccl_test (in bazeltest_rocmimpl_all.log)                   | PASSED   | 67.8s      |  |
| 5. rocm_act_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 67.2s      |  |
| 6. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)      | PASSED   | 68.5s      |  |
| 7. rocm_basic_test (in bazeltest_rocmimpl_all.log)             | PASSED   | 66.5s      |  |
| 8. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log) | PASSED   | 67.3s      |  |
| 9. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 71.5s      |  |
| 10. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)   | PASSED   | 67.8s      |  |
| 11. rocm_ops_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 65.7s      |  |
| 12. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 68.5s      |  |
| 13. rocm_speculative_sampling (in bazeltest_rocmimpl_all.log)  | PASSED   | 66.5s      |  |
| 14. sampler_test (in bazeltest_rocmimpl_all.log)               | PASSED   | 69.7s      |  |
| 15. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)   | PASSED   | 65.9s      |  |
| 16. rocm_embedding_test (in bazeltest_py_all.log)              | FAILED   | N/A        |  |
| 17. rocm_fmha_test (in bazeltest_py_all.log)                   | FAILED   | N/A        |  |
| 18. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)    | FAILED   | N/A        |  |
| 19. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)         | FAILED   | N/A        |  |
| 20. rocm_general_layer_norm_test (in bazeltest_py_all.log)     | FAILED   | N/A        |  |
| 21. rocm_layer_norm_test (in bazeltest_py_all.log)             | FAILED   | N/A        |  |
| 22. rocm_norm_test (in bazeltest_py_all.log)                   | FAILED   | N/A        |  |
| 23. rocm_fused_moe_test (in bazeltest_py_all.log)              | FAILED   | N/A        |  |
| 24. fp8_ptpc_linear_test (in bazeltest_py_all.log)             | FAILED   | N/A        |  |
| 25. rocm_linear_test (in bazeltest_py_all.log)                 | FAILED   | N/A        |  |
| Bert_fp16_4l_sku_mean_909                                      | FAILED   | -          |  |
| Bert_fp8_4l_sku_mean_909                                       | FAILED   | -          |  |
| Bert_int8                                                      | FAILED   | -          |  |
| Qwen3_30B_A3B_bf16_moe                                         | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                       | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                               | FAILED   | -          |  |
| Qwen3_32B_bf16_dense                                           | FAILED   | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                 | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                          | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache               | FAILED   | -          |  |
| Qwen_VL_TP1                                                    | FAILED   | -          |  |
| Qwen_VL_TP4                                                    | FAILED   | -          |  |
