| case_name                                                       | status   | duration   |  |
| -----------                                                     | -------- | ---------- |  |
| 1. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)     | FAILED   | N/A        |  |
| 2. rocm_embedding_test (in bazeltest_py_all.log)                | PASSED   | 17.1s      |  |
| 3. rocm_fmha_test (in bazeltest_py_all.log)                     | PASSED   | 367.1s     |  |
| 4. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)      | PASSED   | 16.8s      |  |
| 5. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)           | PASSED   | 16.9s      |  |
| 6. rocm_general_layer_norm_test (in bazeltest_py_all.log)       | PASSED   | 17.6s      |  |
| 7. rocm_layer_norm_test (in bazeltest_py_all.log)               | PASSED   | 16.9s      |  |
| 8. rocm_norm_test (in bazeltest_py_all.log)                     | PASSED   | 16.9s      |  |
| 9. test_trt_allreduce_graph_replay (in bazeltest_py_all.log)    | FAILED   | N/A        |  |
| 10. test_unified_allreduce_tp (in bazeltest_py_all.log)         | FAILED   | N/A        |  |
| 11. trt_allreduce_test (in bazeltest_py_all.log)                | FAILED   | N/A        |  |
| 12. moriep_intranode_router_test_2gpu (in bazeltest_py_all.log) | PASSED   | 3.0s       |  |
| 13. moriep_intranode_router_test_4gpu (in bazeltest_py_all.log) | PASSED   | 3.3s       |  |
| 14. rocm_fp8_fused_moe_test (in bazeltest_py_all.log)           | PASSED   | 274.7s     |  |
| 15. rocm_fused_moe_test (in bazeltest_py_all.log)               | PASSED   | 151.0s     |  |
| 16. rocm_mxfp4_fused_moe_test (in bazeltest_py_all.log)         | PASSED   | 15.7s      |  |
| 17. test_pure_tp_router (in bazeltest_py_all.log)               | PASSED   | 15.9s      |  |
| 18. torch_moe_ref_test (in bazeltest_py_all.log)                | PASSED   | 16.2s      |  |
| 19. fp8_ptpc_linear_test (in bazeltest_py_all.log)              | PASSED   | 110.5s     |  |
| 20. rocm_linear_test (in bazeltest_py_all.log)                  | PASSED   | 63.5s      |  |
| Bert_fp16_4l_sku_mean_909                                       | FAILED   | -          |  |
| Bert_fp8_4l_sku_mean_909                                        | FAILED   | -          |  |
| Bert_int8                                                       | FAILED   | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                  | FAILED   | -          |  |
| Qwen3_30B_A3B_bf16_moe                                          | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                        | FAILED   | -          |  |
| Qwen3_32B_bf16_dense                                            | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                           | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache                | FAILED   | -          |  |
| Qwen_VL_TP1                                                     | FAILED   | -          |  |
| Qwen_VL_TP4                                                     | FAILED   | -          |  |
