| case_name                                                       | status   | duration   |  |
| -----------                                                     | -------- | ---------- |  |
| 1. rocm_embedding_test (in bazeltest_py_all.log)                | PASSED   | 17.6s      |  |
| 2. rocm_fmha_test (in bazeltest_py_all.log)                     | PASSED   | 364.7s     |  |
| 3. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)      | PASSED   | 15.8s      |  |
| 4. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)           | PASSED   | 41.0s      |  |
| 5. rocm_general_layer_norm_test (in bazeltest_py_all.log)       | PASSED   | 15.9s      |  |
| 6. rocm_layer_norm_test (in bazeltest_py_all.log)               | PASSED   | 16.4s      |  |
| 7. rocm_norm_test (in bazeltest_py_all.log)                     | PASSED   | 41.0s      |  |
| 8. test_trt_allreduce_graph_replay (in bazeltest_py_all.log)    | PASSED   | 150.6s     |  |
| 9. test_unified_allreduce_tp (in bazeltest_py_all.log)          | PASSED   | 61.1s      |  |
| 10. trt_allreduce_test (in bazeltest_py_all.log)                | PASSED   | 104.8s     |  |
| 11. moriep_intranode_router_test_2gpu (in bazeltest_py_all.log) | PASSED   | 3.0s       |  |
| 12. moriep_intranode_router_test_4gpu (in bazeltest_py_all.log) | PASSED   | 3.0s       |  |
| 13. rocm_fp8_fused_moe_test (in bazeltest_py_all.log)           | PASSED   | 211.9s     |  |
| 14. rocm_fused_moe_test (in bazeltest_py_all.log)               | PASSED   | 119.7s     |  |
| 15. rocm_mxfp4_fused_moe_test (in bazeltest_py_all.log)         | PASSED   | 15.1s      |  |
| 16. test_generic_moe_allreduce (in bazeltest_py_all.log)        | PASSED   | 155.9s     |  |
| 17. test_pure_tp_router (in bazeltest_py_all.log)               | PASSED   | 15.9s      |  |
| 18. torch_moe_ref_test (in bazeltest_py_all.log)                | PASSED   | 15.8s      |  |
| 19. fp8_ptpc_linear_test (in bazeltest_py_all.log)              | PASSED   | 202.1s     |  |
| 20. fp8_ptpc_solution_cache_test (in bazeltest_py_all.log)      | PASSED   | 13.6s      |  |
| 21. rocm_linear_test (in bazeltest_py_all.log)                  | PASSED   | 42.6s      |  |
| Bert_fp16_4l_sku_mean_909                                       | FAILED   | -          |  |
| Bert_fp8_4l_sku_mean_909                                        | FAILED   | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                  | FAILED   | -          |  |
| Qwen3_30B_A3B_bf16_moe                                          | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark_ASM_PA                         | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark_TRITON_PA                      | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                        | FAILED   | -          |  |
| Qwen3_32B_bf16_dense                                            | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                           | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_ASM_PA                    | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_TRITON_PA                 | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache                | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache_ASM_PA         | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache_TRITON_PA      | FAILED   | -          |  |
