| case_name                                                   | status   | duration   |  |
| -----------                                                 | -------- | ---------- |  |
| 1. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log) | FAILED   | N/A        |  |
| 2. rocm_embedding_test (in bazeltest_py_all.log)            | PASSED   | 65.1s      |  |
| 3. rocm_fmha_test (in bazeltest_py_all.log)                 | PASSED   | 288.1s     |  |
| 4. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)  | PASSED   | 65.7s      |  |
| 5. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)       | PASSED   | 71.0s      |  |
| 6. rocm_general_layer_norm_test (in bazeltest_py_all.log)   | PASSED   | 65.9s      |  |
| 7. rocm_layer_norm_test (in bazeltest_py_all.log)           | PASSED   | 67.0s      |  |
| 8. rocm_norm_test (in bazeltest_py_all.log)                 | PASSED   | 71.9s      |  |
| 9. rocm_fused_moe_test (in bazeltest_py_all.log)            | PASSED   | 76.3s      |  |
| 10. test_pure_tp_router (in bazeltest_py_all.log)           | PASSED   | 66.8s      |  |
| 11. fp8_ptpc_linear_test (in bazeltest_py_all.log)          | PASSED   | 103.1s     |  |
| 12. rocm_linear_test (in bazeltest_py_all.log)              | PASSED   | 107.9s     |  |
| Bert_int8                                                   | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                            | FAILED   | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                              | FAILED   | -          |  |
| Bert_fp16_4l_sku_mean_909                                   | MISMATCH | -          |  |
| Bert_fp8_4l_sku_mean_909                                    | MISMATCH | -          |  |
| Qwen3_30B_A3B_bf16_moe                                      | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                    | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                        | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                       | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache            | FAILED   | -          |  |
| Qwen_VL_TP1                                                 | FAILED   | -          |  |
| Qwen_VL_TP4                                                 | MISMATCH | -          |  |
