| case_name                                                   | status   | duration   |  |
| -----------                                                 | -------- | ---------- |  |
| 1. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log) | FAILED   | N/A        |  |
| 2. rocm_embedding_test (in bazeltest_py_all.log)            | FAILED   | N/A        |  |
| 3. rocm_fmha_test (in bazeltest_py_all.log)                 | FAILED   | N/A        |  |
| 4. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)  | FAILED   | N/A        |  |
| 5. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)       | FAILED   | N/A        |  |
| 6. rocm_general_layer_norm_test (in bazeltest_py_all.log)   | FAILED   | N/A        |  |
| 7. rocm_layer_norm_test (in bazeltest_py_all.log)           | FAILED   | N/A        |  |
| 8. rocm_norm_test (in bazeltest_py_all.log)                 | FAILED   | N/A        |  |
| 9. trt_allreduce_test (in bazeltest_py_all.log)             | FAILED   | N/A        |  |
| 10. rocm_fp8_fused_moe_test (in bazeltest_py_all.log)       | PASSED   | 246.4s     |  |
| 11. rocm_fused_moe_test (in bazeltest_py_all.log)           | PASSED   | 135.5s     |  |
| 12. test_pure_tp_router (in bazeltest_py_all.log)           | FAILED   | N/A        |  |
| 13. torch_moe_ref_test (in bazeltest_py_all.log)            | PASSED   | 9.3s       |  |
| 14. fp8_ptpc_linear_test (in bazeltest_py_all.log)          | FAILED   | N/A        |  |
| 15. rocm_linear_test (in bazeltest_py_all.log)              | FAILED   | N/A        |  |
| Bert_fp16_4l_sku_mean_909                                   | FAILED   | -          |  |
| Bert_fp8_4l_sku_mean_909                                    | FAILED   | -          |  |
| Bert_int8                                                   | FAILED   | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                              | FAILED   | -          |  |
| Qwen3_30B_A3B_bf16_moe                                      | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                            | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                    | FAILED   | -          |  |
| Qwen3_32B_bf16_dense                                        | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                       | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache            | FAILED   | -          |  |
| Qwen_VL_TP1                                                 | FAILED   | -          |  |
| Qwen_VL_TP4                                                 | FAILED   | -          |  |
