| case_name                                                    | status   | duration   |  |
| -----------                                                  | -------- | ---------- |  |
| 1. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)  | PASSED   | 52.3s      |  |
| 2. rocm_speculative_sampling (in bazeltest_rocmimpl_all.log) | PASSED   | 54.0s      |  |
| 3. sampler_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 51.2s      |  |
| 4. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)  | FAILED   | N/A        |  |
| 5. rocm_embedding_test (in bazeltest_py_all.log)             | PASSED   | 60.8s      |  |
| 6. rocm_fmha_test (in bazeltest_py_all.log)                  | PASSED   | 280.2s     |  |
| 7. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)   | PASSED   | 58.4s      |  |
| 8. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)        | PASSED   | 62.8s      |  |
| 9. rocm_general_layer_norm_test (in bazeltest_py_all.log)    | PASSED   | 58.4s      |  |
| 10. rocm_layer_norm_test (in bazeltest_py_all.log)           | PASSED   | 60.7s      |  |
| 11. rocm_norm_test (in bazeltest_py_all.log)                 | PASSED   | 63.5s      |  |
| 12. rocm_fused_moe_test (in bazeltest_py_all.log)            | PASSED   | 67.9s      |  |
| 13. fp8_ptpc_linear_test (in bazeltest_py_all.log)           | PASSED   | 98.5s      |  |
| 14. rocm_linear_test (in bazeltest_py_all.log)               | PASSED   | 103.6s     |  |
| Bert_fp16_4l_sku_mean_909                                    | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                     | MATCH    | -          |  |
| Bert_int8                                                    | MISMATCH | -          |  |
| Qwen3_30B_A3B_bf16_moe                                       | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                     | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                             | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                         | FAILED   | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                               | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                        | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache             | FAILED   | -          |  |
| Qwen_VL_TP1                                                  | MISMATCH | -          |  |
| Qwen_VL_TP4                                                  | MISMATCH | -          |  |
