| case_name                                                               | status   | duration   |  |
| -----------                                                             | -------- | ---------- |  |
| 1. rocm_gemm_op_test (in bazeltest_tests_rocm_all.log)                  | PASSED   | 108.9s     |  |
| 2. rocm_mla_context_attention (in bazeltest_tests_rocm_all.log)         | PASSED   | 25.8s      |  |
| 3. rocm_mla_decode_attention (in bazeltest_tests_rocm_all.log)          | PASSED   | 26.8s      |  |
| 4. rocm_mla_rotary_kvcache_test (in bazeltest_tests_rocm_all.log)       | PASSED   | 68.3s      |  |
| 5. rocm_pertensor_int8_gemm_op_test (in bazeltest_tests_rocm_all.log)   | PASSED   | 29.2s      |  |
| 6. rocm_ptpc_gemm_op_test (in bazeltest_tests_rocm_all.log)             | PASSED   | 28.7s      |  |
| 7. fused_qk_rmsnorm (in bazeltest_tests_fused_qk_rmsnorm.log)           | PASSED   | 27.0s      |  |
| 8. rocm_ptpc_gemm_op_test (in bazeltest_tests_ptpc_gemm_op_swizzle.log) | PASSED   | 27.5s      |  |
| 9. embedding_lookup_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 28.9s      |  |
| 10. gemm_op_test (in bazeltest_rocmimpl_all.log)                        | PASSED   | 28.2s      |  |
| 11. layernorm_test (in bazeltest_rocmimpl_all.log)                      | PASSED   | 28.3s      |  |
| 12. rccl_test (in bazeltest_rocmimpl_all.log)                           | PASSED   | 27.8s      |  |
| 13. rocm_act_op_test (in bazeltest_rocmimpl_all.log)                    | PASSED   | 27.2s      |  |
| 14. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 27.7s      |  |
| 15. rocm_basic_test (in bazeltest_rocmimpl_all.log)                     | PASSED   | 27.7s      |  |
| 16. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log)         | PASSED   | 27.4s      |  |
| 17. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)                    | PASSED   | 30.3s      |  |
| 18. rocm_ops_test (in bazeltest_rocmimpl_all.log)                       | PASSED   | 27.9s      |  |
| 19. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 27.5s      |  |
| 20. sampler_test (in bazeltest_rocmimpl_all.log)                        | PASSED   | 27.2s      |  |
| 21. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)            | PASSED   | 27.4s      |  |
| 22. rocm_embedding_test (in bazeltest_py_all.log)                       | PASSED   | 31.9s      |  |
| 23. rocm_fmha_test (in bazeltest_py_all.log)                            | PASSED   | 288.6s     |  |
| 24. rocm_fp8_linear_test (in bazeltest_py_all.log)                      | PASSED   | 32.8s      |  |
| 25. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)             | PASSED   | 34.2s      |  |
| 26. rocm_fused_moe_test (in bazeltest_py_all.log)                       | PASSED   | 171.7s     |  |
| 27. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)                  | PASSED   | 36.6s      |  |
| 28. rocm_general_layer_norm_test (in bazeltest_py_all.log)              | PASSED   | 33.9s      |  |
| 29. rocm_layer_norm_test (in bazeltest_py_all.log)                      | PASSED   | 34.9s      |  |
| 30. rocm_linear_test (in bazeltest_py_all.log)                          | PASSED   | 39.3s      |  |
| 31. rocm_norm_test (in bazeltest_py_all.log)                            | PASSED   | 36.6s      |  |
| Qwen3_32B_bf16_dense                                                    | FAILED   | -          |  |
| Bert_fp16_4l_sku_mean_909                                               | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                                | MATCH    | -          |  |
| Bert_int8                                                               | MISMATCH | -          |  |
| Qwen3_30B_A3B_bf16_moe                                                  | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                                | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                        | MISMATCH | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                          | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                                   | MATCH    | -          |  |
| Qwen_VL_TP1                                                             | MATCH    | -          |  |
| Qwen_VL_TP4                                                             | MATCH    | -          |  |
