| case_name                                                      | status   | duration   |  |
| -----------                                                    | -------- | ---------- |  |
| 1. embedding_lookup_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 24.5s      |  |
| 2. gemm_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 24.2s      |  |
| 3. layernorm_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 25.1s      |  |
| 4. rccl_test (in bazeltest_rocmimpl_all.log)                   | PASSED   | 23.7s      |  |
| 5. rocm_act_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 23.7s      |  |
| 6. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)      | PASSED   | 24.2s      |  |
| 7. rocm_basic_test (in bazeltest_rocmimpl_all.log)             | PASSED   | 23.6s      |  |
| 8. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log) | PASSED   | 23.8s      |  |
| 9. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 28.5s      |  |
| 10. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)   | PASSED   | 24.9s      |  |
| 11. rocm_ops_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 24.0s      |  |
| 12. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 23.9s      |  |
| 13. sampler_test (in bazeltest_rocmimpl_all.log)               | PASSED   | 23.5s      |  |
| 14. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)   | PASSED   | 25.5s      |  |
| 15. rocm_embedding_test (in bazeltest_py_all.log)              | PASSED   | 28.7s      |  |
| 16. rocm_fmha_test (in bazeltest_py_all.log)                   | PASSED   | 248.3s     |  |
| 17. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)    | PASSED   | 29.2s      |  |
| 18. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)         | PASSED   | 31.9s      |  |
| 19. rocm_general_layer_norm_test (in bazeltest_py_all.log)     | PASSED   | 28.7s      |  |
| 20. rocm_layer_norm_test (in bazeltest_py_all.log)             | PASSED   | 29.3s      |  |
| 21. rocm_norm_test (in bazeltest_py_all.log)                   | PASSED   | 32.5s      |  |
| 22. rocm_fused_moe_test (in bazeltest_py_all.log)              | PASSED   | 166.7s     |  |
| 23. fp8_ptpc_linear_test (in bazeltest_py_all.log)             | PASSED   | 26.9s      |  |
| 24. rocm_linear_test (in bazeltest_py_all.log)                 | PASSED   | 70.6s      |  |
| Bert_fp16_4l_sku_mean_909                                      | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                       | MATCH    | -          |  |
| Bert_int8                                                      | MATCH    | -          |  |
| Qwen3_30B_A3B_bf16_moe                                         | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                       | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                               | MATCH    | -          |  |
| Qwen3_32B_bf16_dense                                           | MATCH    | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                 | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                          | MISMATCH | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache               | MATCH    | -          |  |
| Qwen_VL_TP1                                                    | MISMATCH | -          |  |
| Qwen_VL_TP4                                                    | MISMATCH | -          |  |
