| case_name                                                      | status   | duration   |  |
| -----------                                                    | -------- | ---------- |  |
| 1. embedding_lookup_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 24.5s      |  |
| 2. gemm_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 23.2s      |  |
| 3. layernorm_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 23.1s      |  |
| 4. rccl_test (in bazeltest_rocmimpl_all.log)                   | PASSED   | 23.8s      |  |
| 5. rocm_act_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 24.1s      |  |
| 6. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)      | PASSED   | 23.2s      |  |
| 7. rocm_basic_test (in bazeltest_rocmimpl_all.log)             | PASSED   | 23.6s      |  |
| 8. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log) | PASSED   | 23.1s      |  |
| 9. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 28.3s      |  |
| 10. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)   | PASSED   | 24.4s      |  |
| 11. rocm_ops_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 23.6s      |  |
| 12. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 24.4s      |  |
| 13. sampler_test (in bazeltest_rocmimpl_all.log)               | PASSED   | 24.3s      |  |
| 14. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)   | PASSED   | 24.3s      |  |
| 15. rocm_embedding_test (in bazeltest_py_all.log)              | PASSED   | 27.6s      |  |
| 16. rocm_fmha_test (in bazeltest_py_all.log)                   | PASSED   | 243.5s     |  |
| 17. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)    | PASSED   | 27.1s      |  |
| 18. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)         | PASSED   | 30.3s      |  |
| 19. rocm_general_layer_norm_test (in bazeltest_py_all.log)     | PASSED   | 27.2s      |  |
| 20. rocm_layer_norm_test (in bazeltest_py_all.log)             | PASSED   | 27.9s      |  |
| 21. rocm_norm_test (in bazeltest_py_all.log)                   | PASSED   | 30.6s      |  |
| 22. rocm_fused_moe_test (in bazeltest_py_all.log)              | PASSED   | 166.5s     |  |
| 23. fp8_ptpc_linear_test (in bazeltest_py_all.log)             | PASSED   | 25.2s      |  |
| 24. rocm_linear_test (in bazeltest_py_all.log)                 | PASSED   | 68.2s      |  |
| Bert_fp16_4l_sku_mean_909                                      | FAILED   | -          |  |
| Bert_fp8_4l_sku_mean_909                                       | FAILED   | -          |  |
| Bert_int8                                                      | FAILED   | -          |  |
| Qwen3_30B_A3B_bf16_moe                                         | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                       | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                               | FAILED   | -          |  |
| Qwen3_32B_bf16_dense                                           | FAILED   | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                 | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                          | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache               | FAILED   | -          |  |
| Qwen_VL_TP1                                                    | FAILED   | -          |  |
| Qwen_VL_TP4                                                    | FAILED   | -          |  |
