| case_name                                                                | status   | duration   |  |
| -----------                                                              | -------- | ---------- |  |
| 1. rocm_ffn_moe_fp8_ll_test (in bazeltest_tests_rocm_all.log)            | PASSED   | 141.6s     |  |
| 2. rocm_gemm_op_test (in bazeltest_tests_rocm_all.log)                   | PASSED   | 93.4s      |  |
| 3. rocm_mla_context_attention (in bazeltest_tests_rocm_all.log)          | PASSED   | 40.3s      |  |
| 4. rocm_mla_decode_attention (in bazeltest_tests_rocm_all.log)           | PASSED   | 40.2s      |  |
| 5. rocm_mla_rotary_kvcache_test (in bazeltest_tests_rocm_all.log)        | PASSED   | 81.9s      |  |
| 6. rocm_pertensor_int8_gemm_op_test (in bazeltest_tests_rocm_all.log)    | PASSED   | 42.2s      |  |
| 7. rocm_ptpc_a8w8_gemm_op_test (in bazeltest_tests_rocm_all.log)         | PASSED   | 39.8s      |  |
| 8. rocm_ptpc_gemm_op_test (in bazeltest_tests_rocm_all.log)              | PASSED   | 41.0s      |  |
| 9. fused_qk_rmsnorm (in bazeltest_tests_fused_qk_rmsnorm.log)            | PASSED   | 37.1s      |  |
| 10. rocm_ptpc_gemm_op_test (in bazeltest_tests_ptpc_gemm_op_swizzle.log) | PASSED   | 38.8s      |  |
| 11. embedding_lookup_test (in bazeltest_rocmimpl_all.log)                | FAILED   | N/A        |  |
| 12. gemm_op_test (in bazeltest_rocmimpl_all.log)                         | FAILED   | N/A        |  |
| 13. layernorm_test (in bazeltest_rocmimpl_all.log)                       | FAILED   | N/A        |  |
| 14. rccl_test (in bazeltest_rocmimpl_all.log)                            | FAILED   | N/A        |  |
| 15. rocm_act_op_test (in bazeltest_rocmimpl_all.log)                     | FAILED   | N/A        |  |
| 16. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)               | FAILED   | N/A        |  |
| 17. rocm_basic_test (in bazeltest_rocmimpl_all.log)                      | FAILED   | N/A        |  |
| 18. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log)          | FAILED   | N/A        |  |
| 19. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)                     | FAILED   | N/A        |  |
| 20. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)             | FAILED   | N/A        |  |
| 21. rocm_ops_test (in bazeltest_rocmimpl_all.log)                        | FAILED   | N/A        |  |
| 22. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)                 | FAILED   | N/A        |  |
| 23. rocm_speculative_sampling (in bazeltest_rocmimpl_all.log)            | FAILED   | N/A        |  |
| 24. sampler_test (in bazeltest_rocmimpl_all.log)                         | FAILED   | N/A        |  |
| 25. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)             | FAILED   | N/A        |  |
| 26. rocm_embedding_test (in bazeltest_py_all.log)                        | PASSED   | 35.9s      |  |
| 27. rocm_fmha_test (in bazeltest_py_all.log)                             | FAILED   | N/A        |  |
| 28. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)              | PASSED   | 36.8s      |  |
| 29. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)                   | PASSED   | 39.0s      |  |
| 30. rocm_general_layer_norm_test (in bazeltest_py_all.log)               | PASSED   | 34.9s      |  |
| 31. rocm_layer_norm_test (in bazeltest_py_all.log)                       | PASSED   | 37.0s      |  |
| 32. rocm_norm_test (in bazeltest_py_all.log)                             | PASSED   | 39.8s      |  |
| 33. rocm_fused_moe_test (in bazeltest_py_all.log)                        | PASSED   | 41.7s      |  |
| 34. fp8_ptpc_linear_test (in bazeltest_py_all.log)                       | PASSED   | 71.9s      |  |
| 35. rocm_linear_test (in bazeltest_py_all.log)                           | PASSED   | 41.3s      |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                           | FAILED   | -          |  |
| Qwen_VL_TP4                                                              | FAILED   | -          |  |
| Bert_fp16_4l_sku_mean_909                                                | MATCH    | -          |  |
| Bert_fp8_4l_sku_mean_909                                                 | MATCH    | -          |  |
| Bert_int8                                                                | MISMATCH | -          |  |
| Qwen3_30B_A3B_bf16_moe                                                   | MATCH    | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                                 | MISMATCH | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                                         | MISMATCH | -          |  |
| Qwen3_32B_bf16_dense                                                     | MATCH    | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                                    | MISMATCH | -          |  |
| Qwen_VL_TP1                                                              | MATCH    | -          |  |
