| case_name                                                      | status   | duration   |  |
| -----------                                                    | -------- | ---------- |  |
| 1. embedding_lookup_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 67.3s      |  |
| 2. gemm_op_test (in bazeltest_rocmimpl_all.log)                | PASSED   | 66.4s      |  |
| 3. layernorm_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 67.1s      |  |
| 4. rccl_test (in bazeltest_rocmimpl_all.log)                   | PASSED   | 67.8s      |  |
| 5. rocm_act_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 67.3s      |  |
| 6. rocm_attention_op_test (in bazeltest_rocmimpl_all.log)      | PASSED   | 63.5s      |  |
| 7. rocm_basic_test (in bazeltest_rocmimpl_all.log)             | PASSED   | 66.3s      |  |
| 8. rocm_custom_all_reduce_test (in bazeltest_rocmimpl_all.log) | PASSED   | 66.8s      |  |
| 9. rocm_ffn_op_test (in bazeltest_rocmimpl_all.log)            | PASSED   | 65.6s      |  |
| 10. rocm_mask_logits_op_test (in bazeltest_rocmimpl_all.log)   | PASSED   | 67.4s      |  |
| 11. rocm_ops_test (in bazeltest_rocmimpl_all.log)              | PASSED   | 67.0s      |  |
| 12. rocm_softmax_op_test (in bazeltest_rocmimpl_all.log)       | PASSED   | 65.7s      |  |
| 13. rocm_speculative_sampling (in bazeltest_rocmimpl_all.log)  | PASSED   | 67.1s      |  |
| 14. sampler_test (in bazeltest_rocmimpl_all.log)               | PASSED   | 64.6s      |  |
| 15. gemm_op_test (in bazeltest_rocmimpl_gemm_op_swizzle.log)   | PASSED   | 66.3s      |  |
| 16. rocm_embedding_test (in bazeltest_py_all.log)              | PASSED   | 56.0s      |  |
| 17. rocm_fmha_test (in bazeltest_py_all.log)                   | PASSED   | 200.4s     |  |
| 18. rocm_fused_add_layernorm_test (in bazeltest_py_all.log)    | PASSED   | 57.6s      |  |
| 19. rocm_fusedqkrmsnorm_test (in bazeltest_py_all.log)         | PASSED   | 60.4s      |  |
| 20. rocm_general_layer_norm_test (in bazeltest_py_all.log)     | PASSED   | 57.4s      |  |
| 21. rocm_layer_norm_test (in bazeltest_py_all.log)             | PASSED   | 55.8s      |  |
| 22. rocm_norm_test (in bazeltest_py_all.log)                   | PASSED   | 59.9s      |  |
| 23. rocm_fused_moe_test (in bazeltest_py_all.log)              | PASSED   | 62.3s      |  |
| 24. fp8_ptpc_linear_test (in bazeltest_py_all.log)             | PASSED   | 95.9s      |  |
| 25. rocm_linear_test (in bazeltest_py_all.log)                 | PASSED   | 96.9s      |  |
| Bert_fp16_4l_sku_mean_909                                      | FAILED   | -          |  |
| Bert_int8                                                      | FAILED   | -          |  |
| Qwen3_30B_A3B_bf16_moe                                         | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_llmcompressor                       | FAILED   | -          |  |
| Qwen3_30B_A3B_fp8_ptpc_moe_Quark                               | FAILED   | -          |  |
| Qwen3_32B_bf16_dense                                           | FAILED   | -          |  |
| Qwen3-32B_FP8_ptpc_dense_Quark                                 | FAILED   | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor                          | FAILED   | -          |  |
| Bert_fp8_4l_sku_mean_909                                       | UNKNOWN  | -          |  |
| Qwen3_8B_FP8_ptpc_dense_llmcompressor_reuseCache               | UNKNOWN  | -          |  |
| Qwen_VL_TP1                                                    | MISMATCH | -          |  |
| Qwen_VL_TP4                                                    | MISMATCH | -          |  |
