| case_name                                                           | status   | duration   |  |
| -----------                                                         | -------- | ---------- |  |
| 1. //rtp_llm/cpp/devices/rocm_impl/test:embedding_lookup_test       | PASSED   | 27.0s      |  |
| 2. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test                | PASSED   | 26.9s      |  |
| 3. //rtp_llm/cpp/devices/rocm_impl/test:layernorm_test              | PASSED   | 26.7s      |  |
| 4. //rtp_llm/cpp/devices/rocm_impl/test:rccl_test                   | PASSED   | 26.3s      |  |
| 5. //rtp_llm/cpp/devices/rocm_impl/test:rocm_act_op_test            | PASSED   | 27.3s      |  |
| 6. //rtp_llm/cpp/devices/rocm_impl/test:rocm_attention_op_test      | PASSED   | 26.2s      |  |
| 7. //rtp_llm/cpp/devices/rocm_impl/test:rocm_basic_test             | PASSED   | 26.9s      |  |
| 8. //rtp_llm/cpp/devices/rocm_impl/test:rocm_custom_all_reduce_test | PASSED   | 26.4s      |  |
| 9. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ffn_op_test            | PASSED   | 29.1s      |  |
| 10. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ops_test              | PASSED   | 26.8s      |  |
| 11. //rtp_llm/cpp/devices/rocm_impl/test:rocm_softmax_op_test       | PASSED   | 28.6s      |  |
| 12. //rtp_llm/cpp/devices/rocm_impl/test:sampler_test               | PASSED   | 26.6s      |  |
| 13. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test               | PASSED   | 26.8s      |  |
| 14. //tests:fused_qk_rmsnorm                                        | PASSED   | 26.9s      |  |
| 15. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 30.7s      |  |
| 16. //tests:rocm_gemm_op_test                                       | PASSED   | 77.1s      |  |
| 17. //tests:rocm_mla_context_attention                              | PASSED   | 26.4s      |  |
| 18. //tests:rocm_mla_decode_attention                               | PASSED   | 25.3s      |  |
| 19. //tests:rocm_mla_rotary_kvcache_test                            | PASSED   | 67.9s      |  |
| 20. //tests:rocm_pertensor_int8_gemm_op_test                        | PASSED   | 29.5s      |  |
| 21. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 30.3s      |  |
| Qwen3-30B-A3B                                                       | MISMATCH | -          |  |
| Qwen3-32B                                                           | MISMATCH | -          |  |
| Qwen3-8B-FP8-Dynamic                                                | MISMATCH | -          |  |
