| case_name                                                           | status   | duration   |  |
| -----------                                                         | -------- | ---------- |  |
| 1. //rtp_llm/cpp/devices/rocm_impl/test:embedding_lookup_test       | PASSED   | 27.0s      |  |
| 2. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test                | PASSED   | 27.0s      |  |
| 3. //rtp_llm/cpp/devices/rocm_impl/test:layernorm_test              | PASSED   | 26.7s      |  |
| 4. //rtp_llm/cpp/devices/rocm_impl/test:rccl_test                   | PASSED   | 26.7s      |  |
| 5. //rtp_llm/cpp/devices/rocm_impl/test:rocm_act_op_test            | PASSED   | 27.0s      |  |
| 6. //rtp_llm/cpp/devices/rocm_impl/test:rocm_attention_op_test      | PASSED   | 26.5s      |  |
| 7. //rtp_llm/cpp/devices/rocm_impl/test:rocm_basic_test             | PASSED   | 27.1s      |  |
| 8. //rtp_llm/cpp/devices/rocm_impl/test:rocm_custom_all_reduce_test | PASSED   | 28.3s      |  |
| 9. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ffn_op_test            | PASSED   | 29.5s      |  |
| 10. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ops_test              | PASSED   | 27.5s      |  |
| 11. //rtp_llm/cpp/devices/rocm_impl/test:rocm_softmax_op_test       | PASSED   | 29.6s      |  |
| 12. //rtp_llm/cpp/devices/rocm_impl/test:sampler_test               | PASSED   | 29.1s      |  |
| 13. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test               | PASSED   | 29.9s      |  |
| 14. //tests:fused_qk_rmsnorm                                        | PASSED   | 26.1s      |  |
| 15. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 27.4s      |  |
| 16. //tests:rocm_gemm_op_test                                       | PASSED   | 76.9s      |  |
| 17. //tests:rocm_mla_context_attention                              | PASSED   | 25.0s      |  |
| 18. //tests:rocm_mla_decode_attention                               | PASSED   | 24.6s      |  |
| 19. //tests:rocm_mla_rotary_kvcache_test                            | PASSED   | 63.0s      |  |
| 20. //tests:rocm_ptpc_a8w8_gemm_op_test                             | PASSED   | 28.1s      |  |
| 21. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 28.5s      |  |
| Qwen3-30B-A3B                                                       | MISMATCH | -          |  |
| Qwen3-32B                                                           | MATCH    | -          |  |
| Qwen3-8B-FP8-Dynamic                                                | MATCH    | -          |  |
