| case_name                                                           | status   | duration   |  |
| -----------                                                         | -------- | ---------- |  |
| 1. //rtp_llm/cpp/devices/rocm_impl/test:embedding_lookup_test       | PASSED   | 36.1s      |  |
| 2. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test                | PASSED   | 33.6s      |  |
| 3. //rtp_llm/cpp/devices/rocm_impl/test:layernorm_test              | PASSED   | 35.1s      |  |
| 4. //rtp_llm/cpp/devices/rocm_impl/test:rccl_test                   | PASSED   | 32.1s      |  |
| 5. //rtp_llm/cpp/devices/rocm_impl/test:rocm_act_op_test            | PASSED   | 38.0s      |  |
| 6. //rtp_llm/cpp/devices/rocm_impl/test:rocm_attention_op_test      | PASSED   | 37.0s      |  |
| 7. //rtp_llm/cpp/devices/rocm_impl/test:rocm_basic_test             | PASSED   | 38.9s      |  |
| 8. //rtp_llm/cpp/devices/rocm_impl/test:rocm_custom_all_reduce_test | PASSED   | 41.7s      |  |
| 9. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ffn_op_test            | PASSED   | 96.0s      |  |
| 10. //rtp_llm/cpp/devices/rocm_impl/test:rocm_ops_test              | PASSED   | 35.6s      |  |
| 11. //rtp_llm/cpp/devices/rocm_impl/test:rocm_softmax_op_test       | PASSED   | 32.3s      |  |
| 12. //rtp_llm/cpp/devices/rocm_impl/test:sampler_test               | PASSED   | 38.5s      |  |
| 13. //rtp_llm/cpp/devices/rocm_impl/test:gemm_op_test               | PASSED   | 35.1s      |  |
| 14. //tests:fused_qk_rmsnorm                                        | PASSED   | 37.5s      |  |
| 15. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 34.9s      |  |
| 16. //tests:rocm_gemm_op_test                                       | PASSED   | 100.9s     |  |
| 17. //tests:rocm_mla_context_attention                              | PASSED   | 33.4s      |  |
| 18. //tests:rocm_mla_decode_attention                               | PASSED   | 33.2s      |  |
| 19. //tests:rocm_mla_rotary_kvcache_test                            | PASSED   | 77.2s      |  |
| 20. //tests:rocm_ptpc_a8w8_gemm_op_test                             | PASSED   | 39.8s      |  |
| 21. //tests:rocm_ptpc_gemm_op_test                                  | PASSED   | 55.7s      |  |
| Qwen3-30B-A3B                                                       | MATCH    | -          |  |
| Qwen3-8B-FP8-Dynamic                                                | MISMATCH | -          |  |
